issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"Thanks for reaching out. This request touches a sensitive or high-risk area (account access restoration). I can't resolve it automatically, so I've escalated it to a human support specialist who can review your account or situation safely and help you directly.",api_and_console,escalated,product_issue,Escalated due to account access restoration in claude; requires a human. Request type 'product_issue'; product area 'api_and_console'. No safe automated resolution exists.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Thanks for reaching out. This request touches a sensitive or high-risk area (score/result review). I can't resolve it automatically, so I've escalated it to a human support specialist who can review your account or situation safely and help you directly.",library,escalated,product_issue,Escalated due to score/result review in hackerrank; requires a human. Request type 'product_issue'; product area 'library'. No safe automated resolution exists.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"Thanks for reaching out. This request touches a sensitive or high-risk area (billing/refund action). I can't resolve it automatically, so I've escalated it to a human support specialist who can review your account or situation safely and help you directly.",travel_support,escalated,product_issue,Escalated due to billing/refund action in visa; requires a human. Request type 'product_issue'; product area 'travel_support'. No safe automated resolution exists.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Thanks for reaching out. This request touches a sensitive or high-risk area (billing/refund action). I can't resolve it automatically, so I've escalated it to a human support specialist who can review your account or situation safely and help you directly.",community,escalated,bug,Escalated due to billing/refund action in hackerrank; requires a human. Request type 'bug'; product area 'community'. No safe automated resolution exists.
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"Thanks for reaching out. This request touches a sensitive or high-risk area (billing/refund action). I can't resolve it automatically, so I've escalated it to a human support specialist who can review your account or situation safely and help you directly.",community,escalated,bug,Escalated due to billing/refund action in hackerrank; requires a human. Request type 'bug'; product area 'community'. No safe automated resolution exists.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Thanks for reaching out. Here is the relevant information from our screen documentation:

_Last updated: Feb 13, 2025, 2:07 PM (Last updated 1 year ago)_
HackerRank is a technology hiring platform designed to help companies efficiently hire skilled developers in a remote-first world. It enables objective evaluation of tech talent at every stage of the recruiting process. This article introduces the key features of HackerRank Screen to help you get started.",screen,replied,product_issue,Grounded answer in 'hackerrank/screen/getting-started/9248897371-quick-start-guide-for-recruiters.md' (screen); request type 'product_issue'; top match score 0.25. No sensitive or high-risk content detected.
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Thanks for reaching out. Here is the relevant information from our screen documentation:

You must have a test submitted by at least one candidate in your HackerRank for Work account. To delete a test submission:
Log in to your **HackerRank for Work** account using your credentials.
Go to the **Tests** tab.
Open the test that contains the submission you want to delete.
Go to the **Candidates** tab.
Select the checkbox next to the candidate(s) whose submission you want to delete.
**Note:** You can also search for the candidate by their name or email if required.
Click on **More \> Delete**.
In the confirmation dialog, click **Confirm**. A success message appears.
**Note:** Once you delete a candidate’s submission, the candidate can either retake the test using their original invitation link or you can send a new invitation. For more information, see 📄 Reinviting Candidates to a Test.
\",screen,replied,bug,Grounded answer in 'hackerrank/screen/managing-tests/9556988565-deleting-a-test-submission.md' (screen); request type 'bug'; top match score 0.31. No sensitive or high-risk content detected.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Thanks for reaching out. This request touches a sensitive or high-risk area (system-outage). I can't resolve it automatically, so I've escalated it to a human support specialist who can review your account or situation safely and help you directly.",screen,escalated,bug,Escalated due to system-outage in hackerrank; requires a human. Request type 'bug'; product area 'screen'. No safe automated resolution exists.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Thanks for reaching out. Here is the relevant information from our interviews documentation:

If any of the participants in the interview loses their internet while the interview is still on they get a message, as below, on their screen.
**Note**: These notifications are only visible to the person who is facing the problem with their internet connection, while the others in the interview can monitor each other's network strength via signal bars on the top right corner.",interviews,replied,bug,Grounded answer in 'hackerrank/interviews/getting-started/6375174017-network-monitoring-in-hackerrank-interviews.md' (interviews); request type 'bug'; top match score 0.14. No sensitive or high-risk content detected.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Thanks for reaching out. Here is the relevant information from our interviews documentation:

_Last updated: Sep 29, 2025, 12:28 AM (Last updated 7 months ago)_
You can reschedule an interview to a different time. When you reschedule, HackerRank automatically sends email notifications to the candidate and interviewers with the updated time.",interviews,replied,product_issue,Grounded answer in 'hackerrank/interviews/manage-interviews/2342466364-rescheduling-an-interview.md' (interviews); request type 'product_issue'; top match score 0.24. No sensitive or high-risk content detected.
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,"Thanks for reaching out. Here is the relevant information from our interviews documentation:

The candidate’s lobby is a virtual waiting room for candidates to wait before entering the interview. Inside the lobby, candidates will get the real-time status of all participants in the interview. This is how the lobby looks to a candidate.
*HackerRank's Lobby*
As an interviewer, you will get notified when a candidate enters the lobby. Click on the **Admit** button to allow candidates inside the interview.
*Admitting a Candidate*
You can also move the candidate to the lobby whenever you want without ending the interview. You can do this by clicking on the down arrow beside the candidate's name and then clicking on the **Move **button.
*Moving a candidate to the Lobby*
Also, candidates are automatically pushed back to the lobby when all the interviewers leave the interview.
*Moving to lobby*
**Tip: **With the candidate lobby, you can set up your interview questions ahead of the interview time and not worry about the questions being leaked to the candidate before the interview.",interviews,replied,feature_request,Grounded answer in 'hackerrank/interviews/interview-settings/1151935613-using-virtual-lobby-in-hackerrank-interviews.md' (interviews); request type 'feature_request'; top match score 0.22. No sensitive or high-risk content detected.
